Año,Autoridad Portuaria,Graneles Líquidos,Graneles Sólidos,Mercancía General,Pesca Fresca,Avitua- llamiento,Tráfico Local,TOTAL TRAFICO,TEUS,Buques
2004,Bilbao,18598894,5013102,8894417,3,139577,690342,33336335,468959,3710
2004,Cartagena,18757797,3854071,625346,2004,124024,1291,23364533,28109,1487
2004,Castellón,7790220,2631021,977401,8836,35076,0,11442554,35041,1039
2004,Ceuta ,548828,90432,821583,269,606264,0,2067376,8097,8286
2004,Ferrol-S. Cibrao  ,819147,8609035,456052,210,20320,26,9904790,51,951
2004,Gijón,1324318,18254573,268503,6132,198442,8498,20060466,4441,806
2004,Huelva,11295141,6340952,437274,5268,123217,6011,18207863,0,1698
2004,Las Palmas,4668397,1701833,15148487,6635,2132844,0,23658196,1215241,10891
2004,Málaga,107485,1784047,848008,1197,121898,0,2862635,91686,1539
2004,Marín y Ría de Pontevedra,5,819559,801659,6695,81175,432,1709525,30535,985
2004,Melilla,76544,50556,590240,0,25075,0,742415,17328,1032
2004,Pasaia,100157,3493817,2084997,11097,46468,0,5736536,0,1648
2004,Santa Cruz de Tenerife,8963586,1991158,7043656,3797,1040383,0,19042580,431999,19349
2004,Santander,341027,4515841,1057310,5396,56255,0,5975829,143,1566
2004,Sevilla,388592,2452005,1663376,0,37016,0,4540989,111092,1312
2004,Tarragona,18057395,10650006,933232,3812,201236,4383,29850064,17214,2602
2004,Valencia,1674914,5447451,30368369,2090,355432,0,37848256,2145236,6759
2004,Vigo,88803,686043,3459153,85735,408811,521,4729066,197269,2309
2004,Vilagarcía,292808,592001,238800,0,10421,0,1134030,0,348
2003,A Coruña,7608091,3649410,771456,24306,127902,523070,12704235,8,1282
2003,Alicante,126156,1489993,1614207,4401,64788,0,3299545,146477,1292
2003,Almería-Motril,1274680,6118173,705863,7016,164626,0,8270358,77,2990
2003,Avilés,849764,2787120,1058943,14990,60230,0,4771047,9083,901
2003,Bahía de Algeciras,21569895,2820925,32369693,5628,2534026,1616025,60916192,2517318,20724
2003,Bahía de Cádiz,68077,1797214,2772043,32176,88637,270,4758417,150100,1884
2003,Baleares,1697522,2070453,7492803,3333,233189,349430,11846730,263892,10354
2003,Barcelona,10159372,3697827,20917489,4462,732923,0,35512073,1652366,8861
2003,Bilbao,16033580,4142642,8208755,0,122687,502481,29010145,448565,3485
2003,Cartagena,16543149,4035035,657602,2812,107979,566,21347143,36918,1542
2003,Castellón,6706344,2261794,963520,9052,44284,0,9984994,33103,1120
2003,Ceuta ,659658,69784,748153,311,629857,0,2107763,6705,9592
2003,Ferrol-S. Cibrao  ,893440,7595784,375545,104,25319,175091,9065283,58,907
2003,Gijón,1438627,16894547,467061,9025,187486,168334,19165080,10397,946
2003,Huelva,11323146,6042879,728891,5966,112819,0,18213701,0,1705
2003,Las Palmas,4765889,1700855,13214652,9404,2078396,0,21769196,990937,10826
2003,Málaga,73826,1844139,367688,1778,119149,0,2406580,1650,1475
2003,Marín y Ría de Pontevedra,358,779161,879812,6014,98848,318,1764511,32808,980
2003,Melilla,85922,52007,607582,0,26985,0,772496,16819,1034
2003,Pasaia,255615,3446739,2200472,11441,45267,0,5959534,0,1718
2003,Santa Cruz de Tenerife,8877440,1557549,6509907,4836,1057084,0,18006816,414373,19148
2003,Santander,354835,3964772,1054430,4574,58891,0,5437502,10007,1623
2003,Sevilla,298851,2902435,1633389,0,11727,0,4846402,102854,1391
2003,Tarragona,17931962,9540809,1324825,3249,209692,4619,29015156,57019,2661
2003,Valencia,1626070,5396239,27937800,2457,338885,0,35301451,1992903,6797
2003,Vigo,56604,773641,3172131,88090,393669,911,4485046,165973,2396
2003,Vilagarcía,438895,443837,275373,0,10456,0,1168561,0,399
2002,A Coruña,7543733,4074019,567727,25434,136332,659456,13006701,0,1344
2002,Alicante,109530,1269392,1582738,5620,86198,0,3053478,135526,1331
2002,Almería-Motril,1232528,5868380,611068,7868,137014,0,7856858,122,2546
2002,Avilés,757980,2456428,878906,14552,54216,0,4162082,6706,860
2002,Bahía de Algeciras,19497624,2839452,28913945,6167,2433311,1585138,55275637,2234248,19572
2002,Bahía de Cádiz,141086,1851870,2544411,39201,104770,7668,4689006,108157,2016
2002,Baleares,1657738,1976404,7109156,3333,244846,311554,11303031,242786,9944
